NameUa	NameRu	OldNameUa	OldNameRu	Lat	Lon
Рудня-Димерська	Рудня-Дымерская			50.8707960	30.1025240
Розтісне	Растесное			50.8649790	30.2893100
Осовець	Осовец			50.8608590	29.5587200
Сувид	Сувид			50.8577690	30.7586310
Ясногородка	Ясногородка			50.8570900	30.3995090
Круги	Круги			50.8490370	30.3107970
Рудня-Тальська	Рудня-Тальская			50.8543400	29.9827190
Ровжі	Ровжи			50.8526190	30.6017300
Тетерівське	Тетеревское			50.8491900	29.7324410
Зимовище	Зимовище			50.8481600	29.9590300
Слобода-Кухарська	Слобода-Кухарская			50.8457600	29.5453300
Підгайне	Подгайное			50.8395810	29.6610300
Блідча	Блидча			50.8358380	29.7999340
Гута-Катюжанська	Гута-Катюжанская			50.8323710	30.1145590
Калинове		Кірове	Кирово	50.8316800	29.5267910
Феневичі	Феневичи			50.8313410	30.0785100
Боденьки	Боденьки			50.8303110	30.7277300
Глібівка	Глебовка			50.8182910	30.3799400
Кухарі	Кухари			50.8158910	29.5909900
Яхнівка	Яхновка			50.8141590	29.6347960
Леонівка	Леоновка			50.8124500	29.9133700
Катюжанка	Катюжанка			50.8092580	30.1364970
Жукин	Жукин			50.8083310	30.6985490
Соснівка	Сосновка			50.7949410	30.0445190
Заруддя	Зарудье			50.7897910	29.5460090
Коблиця	Коблица			50.7784000	29.8891410
Дудки	Дудки			50.7755890	30.0899510
Коблицький Ліс	Коблицкий Лес			50.7712520	29.9123400
Тальське	Тальское			50.7702220	29.8423000
Воропаїв	Воропаев			50.7691690	30.6582370
Опанасів	Опанасов			50.7681600	31.0933700
Красний Ріг	Красный Рог			50.7650720	30.0352500
Рикунь	Рыкунь			50.7643890	30.2584100
Козаровичі	Козаровичи			50.7560540	30.3518960
Літочки	Леточки			50.7566590	30.7660357
Раска	Раска			50.7610101	29.5976884
Пірнове	Пирново			50.7527850	30.6685870
Лісовичі	Лесовичи			50.7523690	30.1942100
Мирча	Мирча			50.7499690	29.8333700
Калита	Калита			50.7498578	31.0249121
Абрамівка	Абрамовка			50.7451590	30.0942990
Великий Ліс	Великий Лес			50.7437100	29.9206680
Садове товариство «Полісся»	Садовое товарищество «Полесье»			50.7390354	30.6341526
Миколаївка	Николаевка			50.7342190	30.2056180
Соболівка	Соболевка			50.7384652	30.7500889
Вища Дубечня	Высшая Дубечня			50.7341800	30.6515100
Литвинівка	Литвиновка			50.7300830	30.2411230
Шибене	Шибеное			50.7273100	30.0232300
Семиполки	Семиполки			50.7235260	30.9460770
Демидів	Демидов			50.7277410	30.3306330
Михайленків	Михайленков			50.7250100	29.9501510
Савенки	Савенки			50.7152900	30.0791890
Стара Буда	Старая Буда			50.7162970	29.8474770
Лебедівка	Лебедевка			50.7136540	30.5446320
Тарасівщина	Тарасовщина			50.7106510	30.2181030
Літки	Летки			50.7069393	30.7429533
Пісківка	Песковка			50.6968561	29.5931036
Торф’яне	Торфяное			50.6894542	29.8081677
Заворичі	Заворичи			50.6991600	31.1345700
Качали	Качалы			50.6981320	29.8306290
Поташня	Поташня			50.6967193	29.7528606
Бондарня	Бондарня			50.6937024	29.7689578
Небрат	Небрат			50.6927950	29.9535730
Мокрець	Мокрец			50.6857700	31.1568800
Лютіж	Лютеж			50.6841960	30.3948520
Нижча Дубечня	Низшая Дубечня			50.6795880	30.6271400
Нова Буда	Новая Буда			50.6668240	29.7577800
Синяк	Синяк			50.6785390	30.2657030
Галинка	Галинка			50.6773349	29.8315290
Гаврилівка	Гавриловка			50.6747820	30.2069090
Здвижівка	Здвижевка			50.6734090	30.0695800
Мигалки	Мигалки			50.6728170	29.5533620
Червоне	Червоное			50.6699710	30.2769510
Рожни	Рожны			50.6706878	30.7409737
Гайове	Гаевое	Фрунзівка		50.6631916	31.0540831
Волиця	Волица			50.6632993	29.8620588
Загальці	Загальцы			50.6624180	29.8048800
Вороньківка	Вороньковка			50.6610490	30.2275100
Рудня-Мигальська				50.6597383	29.5779434
Раківка	Раковка			50.6552090	30.2556590
Бобрик	Бобрик			50.6524600	31.0810100
Рудня	Рудня			50.6521200	31.0051400
Шевченкове	Шевченково			50.6462737	31.0395948
Старі Петрівці	Старые Петровцы			50.6493680	30.4115300
Гай	Гай			50.6500970	29.8437960
Луб’янка	Лубянка			50.6533393	30.1753231
Бервиця	Бервица			50.6373600	31.1905300
Залісся	Залесье			50.6318646	30.8753525
Вишняки	Вишняки			50.6304890	29.7448010
Нові Петрівці	Новые Петровцы			50.6223645	30.4450972
Дружня	Дружня			50.6267200	29.8711400
Богданівка	Богдановка			50.6249989	30.9138046
Озера	Озёра			50.6246600	30.2096600
Тарасівка	Тарасовка			50.6222185	31.0064208
Майданівка	Майдановка			50.6188200	29.7115000
Новосілки	Новосёлки			50.6204853	30.6277842
Михайлівка	Михайловка			50.6194693	31.0692725
Буда-Бабинецька	Буда-Бабинецкая			50.6216010	30.0609760
Язвинка	Язвинка			50.6126400	29.6703000
Вільне	Вольное			50.6116100	31.0054800
Пилиповичі	Пилиповичи			50.6095500	29.9552500
Соболівка	Соболевка			50.6088600	29.6098710
Зазим’я-Сади	Зазимье-Сады			50.6075165	30.6407786
Олексіївка	Алексеевка			50.6061210	31.8129690
Макарівська Буда	Макаровская Буда			50.6057700	29.6356200
Захарівка	Захаровка			50.6047400	31.0174900
Рожівка	Рожевка			50.6020894	30.7565263
Мощун	Мощун			50.6046106	30.3081105
Блиставиця	Блиставица			50.5995900	30.1756710
Гребельки	Гребельки			50.6008168	31.1037096
Дмитрівка	Дмитровка	Жовтневе		50.5978810	29.7835900
Хотянівка	Хотяновка			50.5965000	30.5763300
Жердова	Жердова			50.5999465	31.0417165
Новий Корогод	Новый Когород			50.5949210	29.7947290
Вабля	Вабля			50.5934870	29.8656500
Кодра	Кодра			50.5913510	29.5628400
Велика Димерка	Великая Дымерка			50.5918348	30.9010894
Пухівка	Пуховка			50.5908854	30.7168625
Новомирівка	Новомировка			50.5899810	29.6909010
Озерщина	Озерщина			50.5837744	29.7657134
Гостомель	Гостомель			50.5882600	30.2590900
Покровське	Покровское	Куйбишеве	Куйбишево	50.5880232	31.0754855
Середівка	Середовка			50.5858610	31.8572600
Клавдієво-Тарасове	Клавдиево-Тарасово			50.5841400	30.0095000
Мироцьке	Мироцкое			50.5817490	30.1229950
Волосінь	Волосень			50.5838550	29.6673700
Нова Гребля	Новая Гребля			50.5807110	29.8865890
Скибин	Скибин			50.5805633	30.8318677
Микуличі	Микуличи			50.5800210	30.0699200
Підлісся	Подлесье			50.5789900	31.0174900
Осещина	Осещина			50.5755600	30.5478300
Першотравневе	Першотравневое			50.5728110	31.0734600
Немішаєве	Немешаево			50.5680100	30.1015029
Горенка	Горенка			50.5666953	30.3188022
Пороскотень	Пороскотень			50.5656080	29.9554029
Світильня	Светильня			50.5642300	31.1551700
Калинівка	Калиновка			50.5637731	30.8228756
Забуяння	Забуянье			50.5615160	29.6511690
Зазим’я	Зазимье			50.5667713	30.6791472
Олександринівка	Александриновка			50.5594980	31.7926390
Погреби	Погребы			50.5546247	30.6425879
Аркадіївка	Аркадьевка			50.5579300	31.8600010
Кулажинці	Кулажинцы			50.5546697	31.2107001
Зоря	Заря			50.5550547	30.9446227
Андріївка	Андреевка			50.5511820	29.8324220
Ворзель	Ворзель			50.5457287	30.1562891
Королівка	Королевка			50.5492060	29.7352220
Червона Гірка	Червоная Горка			50.5478170	29.8809170
Плоске	Плоское			50.5439700	31.0940600
Перемога	Перемога			50.5429842	30.8252477
Терлещина	Терлещина			50.5400350	31.9213310
Діброва	Диброва	Діброво-Ленінське		50.5355110	30.0304890
Іллінське	Ильинское			50.5366590	31.9731540
Ферма	Ферма			50.5322990	29.6884900
Красне	Красное			50.5312690	31.7168410
Квітневе	Квитневое	Димитрове		50.5332605	30.8458859
Красилівка	Красиловка			50.5257800	30.9117500
Турівка	Туровка			50.5175400	31.9733100
Усівка	Усовка			50.5154800	31.6794200
Плахтянка	Плахтянка			50.5151410	29.8968910
Козинці	Козинцы			50.5147900	30.0582500
Полковниче		Петрівське	Петровское	50.5144500	32.0429990
Лозовик	Лозовик			50.5141110	29.8529400
Софіївка	Софиевка			50.5130810	31.6083510
Липівка	Липовка			50.5099910	29.8175790
Комарівка	Комаровка			50.5093000	29.5295300
Пасківщина	Пасковщина			50.5082700	31.9193990
Михайлівка-Рубежівка	Михайловка-Рубежовка			50.5041500	30.1489430
Перемога	Перемога			50.4983100	31.2506100
Забуччя	Забучье			50.4976310	30.1718900
Згурівка	Згуровка			50.4950666	31.7691817
Коцюбинське	Коцюбинское			50.4904717	30.3337903
Урсалівка	Урсаловка			50.4928360	31.9600830
Щасливе	Сачастливое	Леніне	Ленино	50.4930460	31.8519520
Великий Крупіль	Великий Круполь			50.4917910	31.5060410
Лук’янівка	Лукьяновка			50.4921610	31.3792970
Малий Крупіль	Малый Круполь			50.4907610	31.5283600
Хмільна	Хмельная			50.4912990	30.0342060
Ніжиловичі	Нежиловичи			50.4852710	29.6366500
Мар’янівка	Марьяновка			50.4801220	29.9597210
Гавронщина	Гавронщина			50.4801634	29.8613693
Переможець	Переможец			50.4794300	30.9591300
Рудницьке	Рудницкое			50.4739420	31.3642500
Княжичі	Княжичи			50.4603562	30.7861932
Займище	Займище			50.4687880	30.9938110
Черевки	Черевки			50.4674110	31.7491210
Стара Оржиця	Старая Оржица			50.4640270	31.9033010
Миколаївка	Николаевка			50.4667280	30.0256400
Войтове	Войтово	Войкове		50.4646680	31.5623490
Перше Травня	Перше Травня			50.4612300	31.1812600
Вишеград	Вышеград			50.4592440	29.9156090
Лукаші	Лукаши			50.4588320	31.4411600
Борівка	Боровка			50.4564290	29.5460090
Маковище	Маковище			50.4550510	29.8718300
Стоянка	Стоянка			50.4540210	30.2261390
Перегуди	Перегуды			50.4523090	31.0459900
Зурівка	Зуровка			50.4535140	29.7493880
Вільне	Вольное			50.4509320	31.7192500
Пайки	Пайки			50.4516260	32.0043680
Колонщина	Колонщина			50.4495580	29.9473590
Дударків	Дударков			50.4492190	30.9515800
Лісне	Лесное			50.4467050	30.1125260
Нова Олександрівка	Новая Александровка			50.4420090	31.6602000
Мила	Милая			50.4413760	30.1723020
Горбачівка	Горбачовка			50.4422870	32.0180740
Володимирське	Владимирское			50.4475330	31.8399660
Садки-Строївка	Садки-Строевка			50.4414290	29.5136890
Буча	Буча			50.4399490	30.0747300
Свобода	Свобода			50.4365920	31.7711050
Пилипче	Пилипче			50.4397470	31.5452920
Фасівочка	Фасовочка			50.4377710	29.7972580
Петропавлівська Борщагівка	Петропавловская Борщаговка			50.4371990	30.3459610
Мрія	Мрия			50.4371830	30.1281950
Гурівщина	Гуровщина			50.4338340	30.0932670
Любимівка	Любимовка			50.4344480	30.0709500
Чайки	Чайки			50.4327390	30.2851910
Григорівка	Григоровка			50.4296490	31.1524200
Старе	Старое			50.4288410	31.6289120
Шевченкове	Шевченково			50.4295010	31.8292120
Березівка	Березовка			50.4290730	29.9955770
Завалівка	Заваловка			50.4277840	29.7327960
Лисиця	Лисица			50.4225040	29.4999430
Мала Стариця	Малая Старица			50.4234700	31.1651190
Гостролуччя	Остролучье			50.4218180	31.2883700
Корніївка	Корнеевка			50.4187130	31.4448070
Гореничі	Гореничи			50.4193310	30.2114890
Калинівка	Калиновка			50.4181400	29.7988970
Софіївська Борщагівка	Софиевская Борщаговка			50.4118800	30.3659570
Юрів	Юров			50.4175570	29.7329900
Северинівка	Севериновка			50.4147490	29.9706210
Безуглівка	Безугловка			50.4142000	31.7662790
Любомирівка	Любомировка	Право Жовтня	Право Жовтня	50.4143870	31.9618840
Ярешки	Ярешки			50.4078100	31.5611650
Лизогубова Слобода	Лизогубова Слобода			50.4083400	31.9124390
Паришків	Парышков			50.4134710	31.4218900
Вознесенське	Вознесенское	Жовтневе		50.4061130	32.0256610
Небелиця	Небелица			50.4133150	29.5990390
Копилів	Копылов			50.4087100	29.8958610
Майське	Майское			50.4083600	31.8713400
Лозівка				50.4073543	30.9642609
Левченкове	Левченково			50.4056210	31.7010500
Шнурів Ліс	Шнуров Лес			50.4056210	29.4728910
Селище	Селище			50.4049300	31.3031410
Шевченкове	Шевченково			50.4116330	30.2573340
Мала Олександрівка	Малая Александровка			50.3972210	30.8239460
Сулимівка	Сулимовка			50.4004710	31.1850400
Копіївка	Копиевка			50.3992040	29.6994210
Озерне	Озёрное			50.3986021	31.7681369
Гречана Гребля	Гречаная Гребля			50.3922390	32.0673450
Безуглівка	Безугловка			50.3984110	30.8386190
Велика Олександрівка	Великая Александровка			50.3935090	30.8734130
Сезенків	Сезенков			50.3942910	31.2368790
Проліски	Пролески			50.3921430	30.7796400
Горбовичі	Горбовичи			50.3905110	30.1526600
Несторівка				50.3901700	30.9639400
Білогородка	Белогородка			50.3901710	30.2278500
Гнатівка	Гнатовка			50.3901710	30.2130910
Рожів	Рожев			50.3872870	29.6508960
Червона Слобода	Червоная Слобода			50.3887900	29.6805990
Мала Березанка	Малая Березанка			50.3884510	31.7130700
Вишневе	Вишнёвое			50.3858220	31.9717010
Мотижин	Мотыжин			50.3826100	29.9260690
Фасова	Фасова			50.3826100	29.8124290
Чубинське	Чубинское			50.3819310	30.8520110
Людвинівка	Людвиновка			50.3815800	29.8275390
Хлопків	Хлопков			50.3827510	31.3559530
Бакумівка	Бакумовка	Червоноармійське		50.3802110	31.4349800
Пасічна	Пасечная			50.3787730	31.3131560
Неграші	Неграши			50.3784900	30.0737000
Щасливе	Счастливое			50.3781510	30.7912500
Святопетрівське	Святопетровское	Петрівське		50.3852080	30.3227790
Нова Оржиця	Новая Оржица	Безбородьків хутір		50.3821870	31.9379020
Швачиха	Швачиха			50.3731840	31.2799640
Лукомщина	Лукомщина			50.3712810	32.1267700
Супоївка	Супоевка			50.3770070	31.7400230
Лехнівка	Лехновка			50.3827670	31.5458510
Власівка	Власовка			50.3688810	31.2385900
Лука	Лука			50.3685420	30.1691400
Жуківка	Жуковка			50.3681910	31.6406310
Артемівка	Артёмовка			50.3706250	31.0759790
Кучаків	Кучаков	Кірове	Кирове	50.3679050	31.1302190
Дернівка	Дерновка			50.3644220	31.3711200
Великий Карашин	Великий Карашин			50.3659400	29.6463720
Баришівка	Барышевка			50.3645295	31.3256722
Недра	Недра			50.3620110	31.5105090
Сотниківка	Сотниковка			50.3585820	31.8346000
Лебедин	Лебедин			50.3626384	31.1485730
Новосілки	Новосёлки			50.3555790	30.4616550
Бобриця	Бобрица			50.3565220	30.1859700
Зелене	Зелёное			50.3554920	32.0217090
Червоне	Червоное			50.3551480	31.9496190
Ясногородка	Ясногородка			50.3534320	30.0112210
Морозівка	Морозовка			50.3483390	31.2081320
Мала Супоївка	Малая Супоевка			50.3493120	31.6639710
Гензерівка	Гензеровка			50.3482820	32.0450590
Садове	Садовое			50.3472520	31.5403800
Чабани	Чабаны			50.3414340	30.4271010
Тарасівка	Тарасовка			50.3372000	30.3216040
Дзюбівка	Дзюбовка			50.3410680	31.7350410
Малий Карашин	Малый Карашин			50.3408430	29.6352140
Розумівка	Разумовка			50.3366090	31.7951200
Юрівка	Юровка			50.3361459	30.3645441
Шевченкове	Шевченково	Кут	Кут	50.3355330	31.7216300
Коржі	Коржи			50.3348880	31.3512000
Мар’янівка	Марьяновка			50.3361590	29.7210410
Черкасівка	Черкасовка			50.3331720	31.7415600
Шовкове	Шёлковое			50.3311080	31.3079490
Княжичі	Княжичи			50.3293990	30.1358390
Гнідин	Гнедин			50.3287090	30.7057590
Рокитне	Ракитное			50.3276790	31.8116000
Хотів	Хотов			50.3263210	30.4686470
Лозовий Яр	Лозовый Яр			50.3218380	31.9942490
Вітрівка	Ветровка			50.3214990	29.8629000
Віта-Поштова	Вита-Почтовая			50.3197168	30.3809098
Кулябівка	Кулябовка			50.3176570	31.6838800
Тужилів	Тужилов			50.3044660	31.7019710
Нове	Новое			50.3205490	30.3067300
